1.     Sei a conoscenza dell’esistenza dei Sustainable Developement Goals (obbiettivi di sviluppo sostenibile) delle Nazioni Unite?,"2.     Quanto ritieni importante la questione sostenibilità sociale, ambientale ed economica? Indicalo nella scala da 1 a 10 ",3.     Credi che la responsabilità di uno sviluppo sostenibile ricada più su:,4.     Indica quanto sei d’accordo con la seguente affermazione: “Realtà sostenibili ed incentrate sull’economia circolare sono essenziali per il raggiungimento di una realtà sostenibile”,5.     Vorresti essere più coinvolto nelle decisioni statali riguardanti normative sulla sostenibilità?,6.     [Se alla 5. hai risposto sì altrimenti passa alla prossima] Perché sì?,7. [Se alla 5. hai risposto no altrimenti passa alla prossima] Perché no?,8.     Pensi sia possibile essere in grado di gestire e sfruttare le risorse naturali entro il 2030 (riduzione dell'utilizzo delle risorse non sostenibili ed aumento di quelle sostenibili)?,9.     Indica quando sei d’accordo con la seguente affermazione: “penso che l’impegno delle multinazionali nell’adozione di pratiche sostenibili e nella sensibilizzazione in campo sostenibile sia essenziale”,10.     Pensi sia possibile ridurre in maniera sostanziale la produzione di rifiuti entro il 2030?,11.     Quanto è importante per te la riduzione dello spreco di alimenti nel raggiungimento di una società sostenibile?,12.     Indica quali dei seguenti obiettivi sono importanti nella battaglia al cambiamento climatico (risposta multipla),13.     Indica quanto sei d’accordo con la seguente affermazione: “è importante valorizzare e sostenere le piccole imprese di produzione alimentare (agricola e non)”,"14.     Quanto è importante per te l’implementazione di tecniche agricole che incrementino: la produzione per ettaro, la resilienza dell’ecosistema a disastri ecologici e la qualità dei terreni?",15.     Quando vai al supermercato quanto spesso pensi alla sostenibilità dei prodotti che acquisti?,16.     Che categoria di prodotti sostenibili acquisti normalmente? (risposta multipla),17.     Qual è il motivo per cui acquisti prodotti sostenibili?,18.     In una scala da 1 a 10 indica quanto è importante l’ecosostenibilità dei prodotti acquistati,19.     In una scala da uno a 10 indica quanto è importante l’estetica dei prodotti venduti,20.     Sei soddisfatt* dai prodotti sostenibili presenti al supermercato?," 
21.    [In caso di risposta negativa altrimenti passa alla prossima] qual è la ragione per cui non sei soddisfatt*?",22.     Che settore secondo te ha una varietà di prodotti troppo bassa?,23.     Che prodotti vorresti venissero aggiunti? ,"24.     Indica quanto sei d’accordo con la seguente affermazione “La trasparenza riguardo ai prodotti sostenibili è essenziale (provenienza, produttore, sostenibilità)”",25.     Indica quanto sei d’accordo con la seguente affermazione “I negozi sostenibili sono trasparenti riguardo alla sostenibilità e all’impatto ambientale dei loro prodotti”,26.     Che informazioni ritieni debbano essere date in aggiunta a quelle già fornite?,27.     Quale delle seguenti caratteristiche del negozio ritieni tra le più importanti? (risposta multipla),28.     Quanto influisce la posizione del negozio nelle tue decisioni di acquisto?,29.     Vorresti avere più informazioni riguardo alle iniziative sostenibili e ai negozi sostenibili nella tua zona?,30.     Come vorresti ricevere queste informazioni?,31.     Pensi che valga la pena di acquistare prodotti alimentari sostenibili?,32.     [Se hai risposto sì alla 31.] Perché sì?,33.     [Se hai risposto no alla 31.] Perché no?,34.     Qual è il tuo genere?,35.     Quanti anni hai?,36.     Qual è la tua occupazione?
Sì,10,Cittadino,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Sempre,a. Verdure,La sostenibilità ambientale,10,3,No,Poca varietà di prodotti offerti,Un po' tutto ,,Molto d’accordo,Molto in disaccordo,Informazioni riguardo alla sostenibilità,Orari di apertura,4,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Studente
Sì,10,Stato,Molto d’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Indifferente,Spesso,a. Verdure;c. Latte e derivati,Tutte le precedenti,7,5,Sì,,Gastronomia,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Orari di apertura;Dimensione del negozio;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Impiegato
No,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure;,Tutte le precedenti,10,4,Non molto,Il prezzo elevato dei prodotti offerti,Tutti,TUTTO,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Preferisco non specificare
Sì,9,Cittadino,Molto d’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,No,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Raramente,a. Verdure,La qualità dei prodotti venduti,7,3,Non molto,Poca varietà di prodotti offerti,Gastronomia,Carne da allevamenti a terra e gastronomia da fonti sostenibili,Molto d’accordo,Indifferente,Informazioni riguardo alla provenienza,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Impiegato
No,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure;c. Latte e derivati;Cosmetici,La sostenibilità ambientale,10,5,No,Poca varietà di prodotti offerti,Gastronomia,Uova e altri derivati animali da allevamenti a terra,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,1,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Studente
Sì,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Sempre,a. Verdure;b. Carne;c. Latte e derivati,Tutte le precedenti,10,1,No,Il prezzo elevato dei prodotti offerti,Verdure,Prodotti sani e sostenibili ,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Uomo,57-69,Libero professionista
Sì,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Sì,D’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Spesso,a. Verdure;c. Latte e derivati,La sostenibilità ambientale,8,6,No,Poca varietà di prodotti offerti,Latte e derivati,Prodotti con etichetta di sostenibilità ,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Dimensione del negozio,7,No,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Uomo,44-56,Impiegato
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,Sì,10,Sensibilizzazione del cittadino,D’accordo,Molto importante,Ogni tanto,a. Verdure,Tutte le precedenti,9,7,Sì,,Latte e derivati,,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla provenienza,Disposizione dei prodotti,8,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Impiegato
Sì,10,Aziende,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,a. Verdure,La sostenibilità ambientale,10,7,No,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Orari di apertura;Disposizione dei prodotti,6,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Impiegato
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Importante,Ogni tanto,a. Verdure;c. Latte e derivati,Tutte le precedenti,8,8,Non molto,Il prezzo elevato dei prodotti offerti,Cosmesi,Cosmesi,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,31-43,Impiegato
Sì,10,Cittadino,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Molto importante,Spesso,a. Verdure;c. Latte e derivati,La sostenibilità ambientale,10,3,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Libero professionista
Sì,9,Cittadino,D’accordo,No,,Credo che per queste decisioni sia necessario un livello di conoscenze che il cittadino non ha,Non so,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure;b. Carne;c. Latte e derivati,La sostenibilità ambientale,10,5,Non molto,,Verdure,,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,44-56,Impiegato
Sì,6,Cittadino,Indifferente,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,D’accordo,Sì,6,Sensibilizzazione del cittadino,D’accordo,Importante,Spesso,a. Verdure,La sostenibilità ambientale,8,4,Sì,,Cereali,Insetti secchi commestibili + carne coltivata in laboratorio,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Orari di apertura,10,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Libero professionista
No,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Indifferente,Spesso,a. Verdure;c. Latte e derivati,Tutte le precedenti,8,6,Sì,,opzioni veg,,Molto d’accordo,In disaccordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Studente
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,D’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Spesso,a. Verdure;c. Latte e derivati,Tutte le precedenti,7,3,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,Frutta,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Orari di apertura,6,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Impiegato
No,10,Stato,,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,No,D’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Ogni tanto,a. Verdure;b. Carne,Tutte le precedenti,8,6,Non molto,Poca varietà di prodotti offerti,Latte e derivati,"carne, frutta",Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Disposizione dei prodotti,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Preferisco non specificare
Sì,10,Aziende,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Non so,Molto d’accordo,Sì,9,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,In disaccordo,Molto importante,Raramente,a. Verdure,La qualità dei prodotti venduti,7,3,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,,Molto d’accordo,In disaccordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Preferisco non specificare
Sì,8,Stato,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,No,D’accordo,No,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Importante,Spesso,a. Verdure,La qualità dei prodotti venduti,8,6,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Prodotti dolciari,D’accordo,In disaccordo,Informazioni riguardo al produttore,Dimensione del negozio,5,Sì,Tramite i social network,Sì,Perché sono di una qualità più alta,,Uomo,18-30,Impiegato
No,7,Aziende,Indifferente,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,Sì,D’accordo,Sì,6,Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,In disaccordo,Poco,Ogni tanto,a. Verdure,La sostenibilità ambientale,8,6,Non molto,Mancano dei prodotti che per me sono essenziali,Gastronomia,Più biologici ,D’accordo,D’accordo,Informazioni riguardo alla provenienza,Orari di apertura,8,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,Perché preferisco spendere i soldi in altri modi,Uomo,18-30,Impiegato
No,8,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Raramente,a. Verdure,La vicinanza del negozio sostenibile a casa,7,6,Sì,,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo alla provenienza,Orari di apertura,1,No,,No,,Perché le qualità non giustificano un incremento del prezzo così grande,Donna,57-69,Preferisco non specificare
Sì,10,Stato,Molto d’accordo,No,,Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Importante,Sempre,a. Verdure;c. Latte e derivati;Detersivi,La sostenibilità ambientale,1,5,Sì,,Gastronomia,"Uova. Quali di provenienza di galline  allevate all’aperto, a terra, non in gabbia e da galline che non hanno mangime con antibiotici. Perché non esiste una qualità che includa tutto?",Molto d’accordo,In disaccordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino,9,Sì,Tramite i social network,Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,57-69,Preferisco non specificare
Sì,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Molto importante,Spesso,a. Verdure;Frutta,La qualità dei prodotti venduti,10,4,Non molto,Il prezzo elevato dei prodotti offerti,Km 0,Km 0,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Dimensione del negozio,5,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,70-82,Preferisco non specificare
Sì,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,9,Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,a. Verdure;Frutta,La sostenibilità ambientale,9,7,No,Il prezzo elevato dei prodotti offerti,Carenza di prodotti a km zero.,"Quelli fattibili,vicino al punto vendita",Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Uomo,70-82,Preferisco non specificare
No,10,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,No,Molto d’accordo,Sì,10,Sensibilizzazione del cittadino,D’accordo,Importante,Spesso,a. Verdure,Tutte le precedenti,8,3,No,Poca varietà di prodotti offerti,Latte e derivati,"Formaggi, carne e insaccati, prodotti da forno",Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Orari di apertura,7,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Preferisco non specificare
No,10,Stato,D’accordo,No,,Credo che per queste decisioni sia necessario un livello di conoscenze che il cittadino non ha,Non so,Molto d’accordo,Sì,10,Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Poco,Ogni tanto,a. Verdure,Tutte le precedenti,10,1,Sì,,,,,,,,1,No,,Sì,Tutte le precedenti,,Donna,57-69,Impiegato
No,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure,La sostenibilità ambientale,10,1,Non molto,Poca varietà di prodotti offerti,Verdure,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Uomo,57-69,Libero professionista
Sì,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Raramente,a. Verdure,La qualità dei prodotti venduti,3,6,No,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,In disaccordo,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino;Orari di apertura,10,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,44-56,Impiegato
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure;c. Latte e derivati,Tutte le precedenti,10,5,Non molto,Poca varietà di prodotti offerti,Latte e derivati,"verdura , frutta, prodotti per pulizia casa e personali",Molto d’accordo,D’accordo,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Preferisco non specificare,Preferisco non dichiarare,Preferisco non specificare
No,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure,Tutte le precedenti,10,6,Non molto,Poca varietà di prodotti offerti,Gastronomia,,Molto d’accordo,D’accordo,Informazioni riguardo alla provenienza,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,9,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Uomo,31-43,Impiegato
Sì,10,Cittadino,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Non so,D’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali,Molto d’accordo,Molto importante,Spesso,a. Verdure;b. Carne;c. Latte e derivati,Tutte le precedenti,9,5,Sì,Il prezzo elevato dei prodotti offerti,Gastronomia,Gastronomia ,D’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,10,No,,Sì,Tutte le precedenti,,Donna,44-56,Impiegato
Sì,10,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure;b. Carne,La qualità dei prodotti venduti,8,7,No,Il prezzo elevato dei prodotti offerti,Gastronomia,Il prodotto sostenibile dovrebbe essere lo standard non l’eccezione costosa,D’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Orari di apertura;Dimensione del negozio,7,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Uomo,44-56,Libero professionista
Sì,10,Cittadino,D’accordo,No,,Credo che per queste decisioni sia necessario un livello di conoscenze che il cittadino non ha;Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,Non so,D’accordo,Sì,10,,Indifferente,Importante,Spesso,a. Verdure;b. Carne,La sostenibilità ambientale,10,8,Sì,,,,Molto d’accordo,D’accordo,,Disposizione dei prodotti,3,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,44-56,Impiegato
Sì,10,Stato,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto poco,Spesso,a. Verdure;c. Latte e derivati,La sostenibilità ambientale,10,8,Sì,,Verdure,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Orari di apertura;Dimensione del negozio;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Tramite volantini,Sì,Perché hanno un basso impatto ambientale,,Uomo,31-43,Impiegato
No,10,Cittadino,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Spesso,a. Verdure,La sostenibilità ambientale,8,4,Non molto,Il prezzo elevato dei prodotti offerti,,,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disposizione dei prodotti,5,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,57-69,Preferisco non specificare
Sì,10,Cittadino,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,No,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,Molto d’accordo,Importante,Spesso,a. Verdure,La qualità dei prodotti venduti,10,5,Non molto,Il prezzo elevato dei prodotti offerti,,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura,8,Sì,Via mail (nella newsletter),Sì,Perché sono di una qualità più alta,,Donna,31-43,Impiegato
